admin1,year,month,price,admin2,market,commodity,unit,pricetype,currency
Autonomous region in Muslim Mindanao,2015,4,35.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,5,35.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,6,35.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,7,35.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,8,36.14,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,9,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,10,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,11,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2015,12,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,1,36.93,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,2,36.86,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,3,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,4,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,5,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,6,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,7,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,8,36.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,9,35.91,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,10,35.46,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,11,34.78,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2016,12,34.4,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,1,34.58,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,2,34.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,3,34.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,4,35.15,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,5,37.17,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,6,37.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,7,39.2,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,8,39.2,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,9,39.2,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,10,39.2,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,11,39.2,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2017,12,39.2,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,1,39.2,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,2,39.53,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,3,41.2,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,4,41.31,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,5,42.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,6,42.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,7,42.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,8,43.89,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,9,45.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,10,45.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,11,44.68,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2018,12,41.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2019,1,40.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2019,2,40.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2019,3,40.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2019,4,40.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2019,5,40.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2019,6,39.6,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2020,5,42.22727272727273,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2020,6,45.241,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2020,7,44.24090909090909,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2020,8,44.255,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2020,9,43.027499999999996,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2020,10,43.51444444444444,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2020,11,43.404444444444444,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2020,12,41.13230769230769,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2021,1,42.25,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2021,2,43.36,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
Autonomous region in Muslim Mindanao,2021,3,43.445,Maguindanao,Shariff Aguak,"Rice (regular, milled)",KG,Retail,PHP
