region,current_date,forecast_date,avg_price,forecast_price,price_change,pct_change,step
Autonomous region in Muslim Mindanao,2025-09-01,2025-10-01,46.26142857,47.072700197161964,0.8112716271619647,0.017536674768579563,1
Cordillera Administrative region,2025-09-01,2025-10-01,45.327,45.74624148656574,0.41924148656573834,0.009249266145249815,1
National Capital region,2025-09-01,2025-10-01,47.6,47.35964355117467,-0.24035644882533092,-0.005049505227422918,1
Region I,2025-09-01,2025-10-01,42.84555556,42.784240607188195,-0.06131495281180577,-0.0014310691508233944,1
Region II,2025-09-01,2025-10-01,36.19,37.7421144115828,1.5521144115827994,0.04288793621394859,1
Region III,2025-09-01,2025-10-01,44.02615385,44.02545381853381,-0.0007000314661880225,-1.5900354788498575e-05,1
Region IV-A,2025-09-01,2025-10-01,44.75555556,45.19892057001426,0.44336501001426143,0.009906368147299153,1
Region IV-B,2025-09-01,2025-10-01,45.25444444,46.37117289127026,1.1167284512702622,0.024676658062853067,1
Region IX,2025-09-01,2025-10-01,44.41428571,44.40419344190056,-0.010092268099441526,-0.0002272302241971939,1
Region V,2025-09-01,2025-10-01,41.88090909,42.49090658946515,0.6099974994651447,0.014565049152927655,1
Region VI,2025-09-01,2025-10-01,46.5175,46.77214379820519,0.2546437982051941,0.005474150549904748,1
Region VII,2025-09-01,2025-10-01,51.85,51.44111762753451,-0.40888237246549153,-0.007885870250057696,1
Region VIII,2025-09-01,2025-10-01,46.74,46.497732276462074,-0.24226772353792825,-0.005183306023490121,1
Region X,2025-09-01,2025-10-01,45.08,46.31876671471442,1.2387667147144228,0.02747929713208569,1
Region XI,2025-09-01,2025-10-01,45.284,45.268710681148605,-0.015289318851394285,-0.0003376318092790894,1
Region XII,2025-09-01,2025-10-01,42.66571429,43.078416887042906,0.4127025970429088,0.00967293303090529,1
Region XIII,2025-09-01,2025-10-01,42.24375,43.50896846536156,1.2652184653615635,0.029950429717095748,1
